id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1186829368774017011,Room in a flat with a view,839061,Gian,Kreis 9,Altstetten,47.3884,8.4964,Private room,92,7,0,,,1,178,0,
1186966125522331333,Stay 5 mins from Letzigrund,18451116,Robin,Kreis 3,Sihlfeld,47.37808,8.50735,Private room,,1,1,2024-07-10,0.12,1,0,1,
1186988117751181244,Chic Boho Decor & Warm Ambiance,160182551,Rosemaria,Kreis 11,Seebach,47.42485,8.54888,Entire home/apt,108,1,1,2024-11-30,0.26,1,364,1,
1187051930381815257,"Schöne Wohnung, nähe Letzigrund",307926949,Laura,Kreis 9,Altstetten,47.38188,8.48338,Entire home/apt,500,1,0,,,1,90,0,
1187414021414560727,Cozy apartment in Zürich,8146302,Pascale,Kreis 3,Sihlfeld,47.37289,8.51849,Entire home/apt,131,2,12,2025-01-04,1.40,1,332,12,
1187478911382412887,Lovely place to stay in Zürich,51569796,Vanessa,Kreis 10,Wipkingen,47.39173,8.52903,Private room,,1,2,2024-07-11,0.22,1,0,2,
1187482622733512767,Huge 2-Room Apartment with Balcony in Center AL151,420370006,Kamila,Kreis 9,Altstetten,47.3882,8.48602,Entire home/apt,86,1,7,2025-03-14,3.75,91,350,7,
1187660325999531164,Room right next to Letzigrund,548695982,Gioia,Kreis 9,Altstetten,47.38481,8.49937,Private room,,20,1,2024-07-12,0.12,1,269,1,
1187745268117133532,Chic and Stylish Apartment,20777052,Maria,Kreis 8,Mühlebach,47.35473,8.5581,Entire home/apt,1305,3,0,,,1,87,0,
1187836238658953479,Juwel im Zürcher Seefeld am See,5387853,Argun,Kreis 8,Seefeld,47.35454,8.55599,Entire home/apt,179,4,5,2024-12-23,0.68,1,183,5,
1188213818744931089,Hotel Zimmer Zürich,543610366,Jens,Kreis 11,Seebach,47.4147075,8.5595497,Private room,159,1,0,,,1,269,0,
1188364329894041518,2BR flat near lake and central (Stardust 22),1314526,Giancarlo,Kreis 2,Wollishofen,47.34777,8.53318,Entire home/apt,155,4,3,2024-11-06,0.35,75,43,3,
1188377801897966377,Appartement,95101072,Etienne,Kreis 3,Sihlfeld,47.3739798,8.5151868,Entire home/apt,,7,1,2024-09-15,0.16,1,0,1,
1188573167768952290,Room in apartment with rooftop,7755947,Pyry,Kreis 8,Seefeld,47.35543,8.55348,Private room,,1,0,,,2,0,0,
1188932954122128368,Renggerstrasse Room 4 InterimHomes Zurich,581481684,Guido,Kreis 2,Wollishofen,47.34395,8.53184,Private room,,30,1,2024-09-30,0.17,44,0,1,
1188932992241646980,Renggerstrasse Room 2 InterimHomes Zurich,581481684,Guido,Kreis 2,Wollishofen,47.34504,8.53198,Private room,,30,1,2024-09-04,0.15,44,0,1,
1188933023545792020,Renggerstrasse Room 3 InterimHomes Zurich,581481684,Guido,Kreis 2,Wollishofen,47.34366,8.53229,Private room,59,30,2,2024-10-03,0.30,44,6,2,
1188957107227008846,Bright apartment by the river,55642746,Lisa,Kreis 10,Wipkingen,47.39189804284062,8.524732142686844,Entire home/apt,170,2,2,2024-09-04,0.23,1,81,2,
1188976617344110550,City Apartment in Local Trendy Neighborhood,24924252,Paulina,Kreis 3,Sihlfeld,47.37737,8.50987,Entire home/apt,,1,1,2024-07-11,0.12,1,0,1,
1189098452732513293,Appartment close to Hallenstadion,25300367,Roberto,Kreis 11,Oerlikon,47.4112679,8.5453739,Private room,320,2,0,,,1,363,0,
